[CONFIG] distributed init (local rank 2)
[CONFIG] Let's use 4 GPUs!
115495 queries in the dataset
5732 queries in the dataset
load initial weights!
None
epoch: 1
train_file: trainstreetlearnU_cmu5kU
val_file: hudsonriver5kU
distributed: True
val_distributed: False
syncBN: False
use_amp: False
share: True
seed: 1
port: 12364
feat_dim: 4096
margin: 0.07
optimizer: SAM
wd: 0.03
epochs: 60
lr: 0.0001
scheduler: CosineAnnealingLR
pre_model_name: resnetsafa_dgcnn_asam_2to3_up
num_layers: 1
num_heads: 8
seq_len: 10
model_type: transmixer_mask
w: 5
pool: avg_pool
max_masked: 9
special_mask: False
rank: 0
world_size: 4
gpu: 0
device: cuda:0
dist_backend: nccl
dist_url: env://
log: True

115495 queries in the dataset
5732 queries in the dataset
Using 8 dataloader workers every process
Model device: cuda:0
Model name: model_20240105_0136
Number of model parameters: 5255168
load initial weights!
Epoch[1-260]	loss: 0.0057	total loss: 0.0057
Epoch[1-261]	loss: 0.0054	total loss: 0.0054
Epoch[1-262]	loss: 0.0053	total loss: 0.0053
Epoch[1-263]	loss: 0.0079	total loss: 0.0079
Epoch[1-264]	loss: 0.0032	total loss: 0.0032
Epoch[1-265]	loss: 0.0086	total loss: 0.0086
Epoch[1-266]	loss: 0.0083	total loss: 0.0083
Epoch[1-267]	loss: 0.0034	total loss: 0.0034
Epoch[1-268]	loss: 0.0132	total loss: 0.0132
Epoch[1-269]	loss: 0.0092	total loss: 0.0092
Epoch[1-270]	loss: 0.0051	total loss: 0.0051
Epoch[1-271]	loss: 0.0046	total loss: 0.0046
Epoch[1-272]	loss: 0.0112	total loss: 0.0112
Epoch[1-273]	loss: 0.0072	total loss: 0.0072
Epoch[1-274]	loss: 0.0087	total loss: 0.0087
Epoch[1-275]	loss: 0.0040	total loss: 0.0040
Epoch[1-276]	loss: 0.0041	total loss: 0.0041
Epoch[1-277]	loss: 0.0052	total loss: 0.0052
Epoch[1-278]	loss: 0.0106	total loss: 0.0106
Epoch[1-279]	loss: 0.0090	total loss: 0.0090
Epoch[1-280]	loss: 0.0053	total loss: 0.0053
Epoch[1-281]	loss: 0.0061	total loss: 0.0061
Epoch[1-282]	loss: 0.0055	total loss: 0.0055
Epoch[1-283]	loss: 0.0123	total loss: 0.0123
Epoch[1-284]	loss: 0.0089	total loss: 0.0089
Epoch[1-285]	loss: 0.0130	total loss: 0.0130
Epoch[1-286]	loss: 0.0079	total loss: 0.0079
Epoch[1-287]	loss: 0.0128	total loss: 0.0128
Epoch[1-288]	loss: 0.0050	total loss: 0.0050
Epoch[1-289]	loss: 0.0076	total loss: 0.0076
Epoch[1-290]	loss: 0.0078	total loss: 0.0078
Epoch[1-291]	loss: 0.0036	total loss: 0.0036
Epoch[1-292]	loss: 0.0042	total loss: 0.0042
Epoch[1-293]	loss: 0.0028	total loss: 0.0028
Epoch[1-294]	loss: 0.0057	total loss: 0.0057
Epoch[1-295]	loss: 0.0034	total loss: 0.0034
Epoch[1-296]	loss: 0.0147	total loss: 0.0147
Epoch[1-297]	loss: 0.0038	total loss: 0.0038
Epoch[1-298]	loss: 0.0028	total loss: 0.0028
Epoch[1-299]	loss: 0.0068	total loss: 0.0068
Epoch[1-300]	loss: 0.0047	total loss: 0.0047
Epoch[1-301]	loss: 0.0099	total loss: 0.0099
Epoch[1-302]	loss: 0.0135	total loss: 0.0135
Epoch[1-303]	loss: 0.0069	total loss: 0.0069
Epoch[1-304]	loss: 0.0053	total loss: 0.0053
Epoch[1-305]	loss: 0.0217	total loss: 0.0217
Epoch[1-306]	loss: 0.0036	total loss: 0.0036
Epoch[1-307]	loss: 0.0071	total loss: 0.0071
Epoch[1-308]	loss: 0.0061	total loss: 0.0061
Epoch[1-309]	loss: 0.0076	total loss: 0.0076
Epoch[1-310]	loss: 0.0044	total loss: 0.0044
Epoch[1-311]	loss: 0.0057	total loss: 0.0057
Epoch[1-312]	loss: 0.0071	total loss: 0.0071
Epoch[1-313]	loss: 0.0065	total loss: 0.0065
Epoch[1-314]	loss: 0.0044	total loss: 0.0044
Epoch[1-315]	loss: 0.0102	total loss: 0.0102
Epoch[1-316]	loss: 0.0035	total loss: 0.0035
Epoch[1-317]	loss: 0.0044	total loss: 0.0044
Epoch[1-318]	loss: 0.0070	total loss: 0.0070
Epoch[1-319]	loss: 0.0041	total loss: 0.0041
Epoch[1-320]	loss: 0.0083	total loss: 0.0083
Epoch[1-321]	loss: 0.0107	total loss: 0.0107
Epoch[1-322]	loss: 0.0219	total loss: 0.0219
Epoch[1-323]	loss: 0.0072	total loss: 0.0072
Epoch[1-324]	loss: 0.0079	total loss: 0.0079
Epoch[1-325]	loss: 0.0059	total loss: 0.0059
Epoch[1-326]	loss: 0.0142	total loss: 0.0142
Epoch[1-327]	loss: 0.0057	total loss: 0.0057
Epoch[1-328]	loss: 0.0039	total loss: 0.0039
Epoch[1-329]	loss: 0.0162	total loss: 0.0162
Epoch[1-330]	loss: 0.0040	total loss: 0.0040
Epoch[1-331]	loss: 0.0060	total loss: 0.0060
Epoch[1-332]	loss: 0.0033	total loss: 0.0033
